2017-09-08T10:10:29.208+0800 I COMMAND  [conn8] command my_blog.demo command: insert { insert: "demo", ordered: true, documents: [ { content: "my first todo", time: new Date(1504865429054), status: 0, _id: ObjectId('59b1fc15807ce11e243615e1') } ], writeConcern: { w: 1 } } ninserted:1 keysInserted:1 numYields:0 reslen:44 locks:{ Global: { acquireCount: { r: 3, w: 3 } }, Database: { acquireCount: { w: 2, W: 1 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_query 140ms
2017-09-08T10:10:29.590+0800 I -        [conn8] end connection 127.0.0.1:57849 (4 connections now open)
2017-09-08T10:10:29.590+0800 I -        [conn7] end connection 127.0.0.1:57848 (3 connections now open)
2017-09-08T10:10:51.239+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:57955 #9 (3 connections now open)
2017-09-08T10:10:51.242+0800 I NETWORK  [conn9] received client metadata from 127.0.0.1:57955 conn9: { application: { name: "Robomongo" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 8", architecture: "x86_64", version: "6.2 (build 9200)" } }
2017-09-08T10:10:51.309+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:57956 #10 (4 connections now open)
2017-09-08T10:10:51.312+0800 I NETWORK  [conn10] received client metadata from 127.0.0.1:57956 conn10: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 8", architecture: "x86_64", version: "6.2 (build 9200)" } }
2017-09-08T10:12:25.330+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58419 #11 (5 connections now open)
2017-09-08T10:12:25.331+0800 I NETWORK  [conn11] received client metadata from 127.0.0.1:58419 conn11: { application: { name: "Robomongo" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 8", architecture: "x86_64", version: "6.2 (build 9200)" } }
2017-09-08T10:12:25.366+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58420 #12 (6 connections now open)
2017-09-08T10:12:25.366+0800 I NETWORK  [conn12] received client metadata from 127.0.0.1:58420 conn12: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 8", architecture: "x86_64", version: "6.2 (build 9200)" } }
2017-09-08T10:12:27.310+0800 I -        [conn11] end connection 127.0.0.1:58419 (6 connections now open)
2017-09-08T10:12:27.310+0800 I -        [conn12] end connection 127.0.0.1:58420 (5 connections now open)
2017-09-08T10:12:44.103+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58502 #13 (5 connections now open)
2017-09-08T10:12:44.105+0800 I NETWORK  [conn13] received client metadata from 127.0.0.1:58502 conn13: { application: { name: "Robomongo" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 8", architecture: "x86_64", version: "6.2 (build 9200)" } }
2017-09-08T10:12:44.170+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58504 #14 (6 connections now open)
2017-09-08T10:12:44.172+0800 I NETWORK  [conn14] received client metadata from 127.0.0.1:58504 conn14: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 8", architecture: "x86_64", version: "6.2 (build 9200)" } }
2017-09-08T10:12:50.302+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58536 #15 (7 connections now open)
2017-09-08T10:12:50.304+0800 I NETWORK  [conn15] received client metadata from 127.0.0.1:58536 conn15: { application: { name: "Robomongo" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 8", architecture: "x86_64", version: "6.2 (build 9200)" } }
2017-09-08T10:12:50.377+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58537 #16 (8 connections now open)
2017-09-08T10:12:50.378+0800 I NETWORK  [conn16] received client metadata from 127.0.0.1:58537 conn16: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 8", architecture: "x86_64", version: "6.2 (build 9200)" } }
2017-09-08T10:13:21.797+0800 I -        [conn16] end connection 127.0.0.1:58537 (8 connections now open)
2017-09-08T10:13:21.797+0800 I -        [conn15] end connection 127.0.0.1:58536 (7 connections now open)
2017-09-08T10:13:22.566+0800 I -        [conn13] end connection 127.0.0.1:58502 (6 connections now open)
2017-09-08T10:13:22.566+0800 I -        [conn14] end connection 127.0.0.1:58504 (5 connections now open)
2017-09-08T10:13:23.333+0800 I -        [conn9] end connection 127.0.0.1:57955 (4 connections now open)
2017-09-08T10:13:23.333+0800 I -        [conn10] end connection 127.0.0.1:57956 (3 connections now open)
